CHURCHES_,CHURCHES_ID,PIN,OWNER_NAME,PROP_ADDR,BILL_ADDR,CITY_STATE,ZIP,EXEMPTCODE,ZONING,DENOMINATION,DENOM
175,23572,0464730000,TABERNACLE BAPTIST CHURCH,1209 TWELFTH ST,1223 LANEY WALKER BLVD,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
176,23578,0474413000,MOSES BAPTIST CHURCH TRUSTEES OF,612 FORSYTHE ST,PO BOX 351,AUGUSTA GA (0351),30903,E2,01,BAPTIST,BAPTIST
177,23592,0463437000,ANTIOCH BAPTIST CHURCH OF AUG I,FLORENCE ST,1454 FLORENCE ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
178,23618,0474417000,MOSES BAPTIST CHURCH,105 WATKINS ST,P O BOX 351,"AUGUSTA, GA",30903,E2,01,BAPTIST,BAPTIST
179,23640,0474414000,TRUSTEES OF MOSES BAPTIST CHURCH THE,616 FORSYTHE ST,112 WATKINS ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
180,23641,0474420000,TRUSTEES OF MOSES BAPTIST CHURCH THE,611 FIRST ST,112 WATKINS ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
181,23668,0463461000,ANTIOCH BAPTIST CHURCH BY TRS,1448 FLORENCE ST,1454 FLORENCE ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
182,23676,0483120000,GOOD HOPE MISSIONARY BAPTIST CHURCH INC,200 MAGNOLIA AVE,710 E CEDAR ST,"AUGUSTA, GA",30901,,02,BAPTIST,BAPTIST
183,23709,0463460000,ANTIOCH BAPTIST CHURCH BY TRS,1444 FLORENCE ST,1454 FLORENCE ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
184,23711,0474415000,TRUSTEES OF MOSES BAPTIST CHURCH THE,620 FORSYTHE ST,112 WATKINS ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
185,23734,0474419000,TRUSTEES OF MOSES BAPTIST CHURCH THE,615 FIRST ST,112 WATKINS ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
186,23739,0463459000,ANTIOCH BAPTIST CHURCH BY TRS,1440 FLORENCE ST,1454 FLORENCE ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
187,23772,0483121000,GOOD HOPE MISSIONARY BAPTIST CHURCH INC,200 1/2 MAGNOLIA AVE,710 E CEDAR ST,"AUGUSTA, GA",30901,,02,BAPTIST,BAPTIST
188,23774,0474416000,TRUSTEES OF MOSES BAPTIST CHURCH THE,109 WATKINS ST,112 WATKINS ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
189,23851,0483121010,GOOD HOPE MISSIONARY BAPTIST CHURCH INC,202 MAGNOLIA AVE,710 E CEDAR ST,"AUGUSTA, GA",30901,,02,BAPTIST,BAPTIST
190,23869,0463438000,ANTIOCH BAPTIST CHURCH OF AUG I,1304 AUGUSTA AVE,1454 FLORENCE ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
191,23927,0483121020,GOOD HOPE MISSIONARY BAPTIST CHURCH INC,204 MAGNOLIA AVE,710 E CEDAR ST,"AUGUSTA, GA",30901,,02,BAPTIST,BAPTIST
192,23996,0483121030,GOOD HOPE MISSIONARY BAPTIST CHURCH INC,206 MAGNOLIA AVE,710 E CEDAR ST,"AUGUSTA, GA",30901,,02,BAPTIST,BAPTIST
193,24028,0463224000,SECOND MT MORIAH BAPTIST CHURCH,1404 BROWN ST,1404 BROWN ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
194,24051,0483121040,GOOD HOPE MISSIONARY BAPTIST CHURCH INC,208 MAGNOLIA AVE,710 E CEDAR ST,"AUGUSTA, GA",30901,,02,BAPTIST,BAPTIST
195,24106,0463222000,SECOND MT MORIAH BAPTIST CHURCH,1321 AUGUSTA AVE,1321 AUGUSTA AVE,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
196,24253,0443277000,ASBURY METHODIST CHURCH,2236 LEE ST,PARSONAGE,AUGUSTA GA,30904,E2,01,METHODIST,METHODIST
197,24287,0454233000,MT ZION BAPTIST CHURCH,1438 WRIGHTSBORO RD,1438 WRIGHTSBORO RD,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
198,24353,0463220000,SECOND MT MORIAH BAPTIST CHURCH,1333 AUGUSTA AVE,1404 BROWN ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
199,24362,0454234000,MT ZION MISSIONARY BAPTIST CHUR,1436 WRIGHTSBORO RD,1436 WRIGHTSBORO RD,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
200,24501,0582013010,BEULAH GROVE BAPTIST CHURCH INC,BROWNS LN,1434 POPULAR ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
201,24507,0591173000,MT ZION MISSIONARY BAPTIST CHUR,1426 WRIGHTSBORO RD,1436 WRIGHTSBORO RD,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
202,24524,0582003000,BEULAH GROVE BAPTIST CHURCH INC,1434 MCCAULEY ST,1434 POPLAR ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
